success ; initial_sync_agreement ; final_sync_agreement ; i_amail_sync_agreement ; f_amail_sync_agreement ;initial_diac_agreement_1 ; final_diac_agreement_1 ; e_count_1 ; g_count_1 ; l_ini_sync_1 ; i_cover_1 ; l_fin_sync_1 ; f_cover_1 ; initial_diac_agreement_2 ; final_diac_agreement_2 ; e_count_2 ; g_count_2 ; l_ini_sync_2 ; i_cover_2 ; l_fin_sync_2 ; f_cover_2 ; strategy ; domain ; threshold ; abui_t ; iterations ; nb_examples ; nb_concerned ; concerned_rt ; redundancy ; exch_ratio ; nb_overlap ; nb_hyponym ; nb_synonym ; nb_homonym ; i_total ; i_self ; i_overlap ; i_hypohyper ; i_syn ; i_hom ; i_blind ; i_un ; f_total ; f_self ; f_overlap ; f_hypohyper ; f_syn ; f_hom ; f_blind ; f_un ; i_total_1 ; i_self_1 ; i_overlap_1 ; i_hypohyper_1 ; i_syn_1 ; i_hom_1 ; i_blind_1 ; i_un_1 ; f_total_1 ; f_self_1 ; f_overlap_1 ; f_hypohyper_1 ; f_syn_1 ; f_hom_1 ; f_blind_1 ; f_un_1 ; i_total_2 ; i_self_2 ; i_overlap_2 ; i_hypohyper_2 ; i_syn_2 ; i_hom_2 ; i_blind_2 ; i_un_2 ; f_total_2 ; f_self_2 ; f_overlap_2 ; f_hypohyper_2 ; f_syn_2 ; f_hom_2 ; f_blind_2 ; f_un_2 ; initial concepts ; expected concepts ; observed concepts ; shared_ft 
1 ; 0.3163265306122449 ; 0.6224489795918368 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 15 ; 0.30612244897959184 ; 0.9795918367346939 ; 0.5714285714285714 ; 0.6530612244897959 ; 1.0 ; 1.0 ; 0 ; 15 ; 0.32653061224489793 ; 0.9693877551020408 ; 0.6862745098039216 ; 0.6530612244897959 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 7
1 ; 0.3469387755102041 ; 0.6122448979591837 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 12 ; 0.3469387755102041 ; 0.9591836734693877 ; 0.6666666666666666 ; 0.6122448979591837 ; 1.0 ; 1.0 ; 2 ; 10 ; 0.3469387755102041 ; 0.9591836734693877 ; 0.5714285714285714 ; 0.6122448979591837 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 7
1 ; 0.25510204081632654 ; 0.8877551020408163 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 7 ; 31 ; 0.22448979591836735 ; 0.9795918367346939 ; 0.8545454545454545 ; 0.9387755102040817 ; 1.0 ; 1.0 ; 6 ; 51 ; 0.2857142857142857 ; 0.9489795918367347 ; 0.8571428571428571 ; 0.9387755102040817 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.1326530612244898 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 7
1 ; 0.29591836734693877 ; 0.6836734693877551 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 12 ; 0.30612244897959184 ; 0.9897959183673469 ; 0.6923076923076923 ; 0.6836734693877551 ; 1.0 ; 1.0 ; 3 ; 21 ; 0.2857142857142857 ; 0.9897959183673469 ; 0.6862745098039216 ; 0.6836734693877551 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.05102040816326531 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 2 ; 7
1 ; 0.3673469387755102 ; 0.5918367346938775 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 9 ; 0.3877551020408163 ; 0.9489795918367347 ; 0.5306122448979592 ; 0.6020408163265306 ; 1.0 ; 1.0 ; 0 ; 12 ; 0.3469387755102041 ; 0.9693877551020408 ; 0.6530612244897959 ; 0.6020408163265306 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.0 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 7
1 ; 0.3469387755102041 ; 0.8979591836734694 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 16 ; 0.32653061224489793 ; 0.9285714285714286 ; 0.9615384615384616 ; 0.9183673469387755 ; 1.0 ; 1.0 ; 3 ; 14 ; 0.3673469387755102 ; 0.9897959183673469 ; 0.8163265306122449 ; 0.9183673469387755 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.030612244897959183 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 0 ; 1 ; 1 ; 0 ; 0 ; 2 ; 4 ; 5 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5 ; 0 ; 3 ; 4 ; 3 ; 7
1 ; 0.2857142857142857 ; 0.673469387755102 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 23 ; 0.24489795918367346 ; 1.0 ; 0.6792452830188679 ; 0.673469387755102 ; 1.0 ; 1.0 ; 4 ; 15 ; 0.32653061224489793 ; 0.9591836734693877 ; 0.673469387755102 ; 0.673469387755102 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.04081632653061224 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 2 ; 7
1 ; 0.30612244897959184 ; 0.9081632653061225 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 20 ; 0.2857142857142857 ; 0.9489795918367347 ; 0.8823529411764706 ; 0.9795918367346939 ; 1.0 ; 1.0 ; 2 ; 18 ; 0.32653061224489793 ; 0.9795918367346939 ; 0.9183673469387755 ; 0.9795918367346939 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 7
1 ; 0.32653061224489793 ; 0.5204081632653061 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 8 ; 0.30612244897959184 ; 0.9285714285714286 ; 0.5510204081632653 ; 0.5306122448979592 ; 1.0 ; 1.0 ; 0 ; 14 ; 0.3469387755102041 ; 0.9183673469387755 ; 0.5098039215686274 ; 0.5306122448979592 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 2 ; 1 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 2 ; 7
1 ; 0.3469387755102041 ; 0.6020408163265306 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 10 ; 0.3469387755102041 ; 1.0 ; 0.5510204081632653 ; 0.6020408163265306 ; 1.0 ; 1.0 ; 0 ; 8 ; 0.3469387755102041 ; 0.9489795918367347 ; 0.6530612244897959 ; 0.6020408163265306 ; EXT ; NC ; 8 ; 0.75 ; 25 ; 100 ; 98 ; 0.98 ; 0 ; 0.0 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 7
