success ; initial_sync_agreement ; final_sync_agreement ; i_amail_sync_agreement ; f_amail_sync_agreement ;initial_diac_agreement_1 ; final_diac_agreement_1 ; e_count_1 ; g_count_1 ; l_ini_sync_1 ; i_cover_1 ; l_fin_sync_1 ; f_cover_1 ; initial_diac_agreement_2 ; final_diac_agreement_2 ; e_count_2 ; g_count_2 ; l_ini_sync_2 ; i_cover_2 ; l_fin_sync_2 ; f_cover_2 ; strategy ; domain ; threshold ; abui_t ; iterations ; nb_examples ; nb_concerned ; concerned_rt ; redundancy ; exch_ratio ; nb_overlap ; nb_hyponym ; nb_synonym ; nb_homonym ; i_total ; i_self ; i_overlap ; i_hypohyper ; i_syn ; i_hom ; i_blind ; i_un ; f_total ; f_self ; f_overlap ; f_hypohyper ; f_syn ; f_hom ; f_blind ; f_un ; i_total_1 ; i_self_1 ; i_overlap_1 ; i_hypohyper_1 ; i_syn_1 ; i_hom_1 ; i_blind_1 ; i_un_1 ; f_total_1 ; f_self_1 ; f_overlap_1 ; f_hypohyper_1 ; f_syn_1 ; f_hom_1 ; f_blind_1 ; f_un_1 ; i_total_2 ; i_self_2 ; i_overlap_2 ; i_hypohyper_2 ; i_syn_2 ; i_hom_2 ; i_blind_2 ; i_un_2 ; f_total_2 ; f_self_2 ; f_overlap_2 ; f_hypohyper_2 ; f_syn_2 ; f_hom_2 ; f_blind_2 ; f_un_2 ; initial concepts ; expected concepts ; observed concepts ; ft_number ; m_sort_size ; sd_sort_size ; m_id_size ; sd_id_size ; m_gen_size ; sd_gen_size ; shared_ft
1 ; 0.21428571428571427 ; 0.6428571428571429 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 4 ; 17 ; 0.1836734693877551 ; 0.9693877551020408 ; 0.6122448979591837 ; 0.6530612244897959 ; 1.0 ; 1.0 ; 0 ; 15 ; 0.24489795918367346 ; 0.9285714285714286 ; 0.660377358490566 ; 0.6530612244897959 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.04081632653061224 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 2 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 2
1 ; 0.32653061224489793 ; 0.7959183673469388 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 9 ; 105 ; 0.3673469387755102 ; 0.8775510204081632 ; 0.8070175438596491 ; 0.8775510204081632 ; 1.0 ; 1.0 ; 10 ; 69 ; 0.2857142857142857 ; 0.9285714285714286 ; 0.7241379310344828 ; 0.8775510204081632 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.17346938775510204 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 3 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 6
1 ; 0.23469387755102042 ; 0.6224489795918368 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 34 ; 0.2653061224489796 ; 0.8571428571428571 ; 0.6071428571428571 ; 0.6224489795918368 ; 1.0 ; 1.0 ; 7 ; 22 ; 0.20408163265306123 ; 1.0 ; 0.5686274509803921 ; 0.6224489795918368 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.09183673469387756 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 2 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 4
1 ; 0.2857142857142857 ; 0.9081632653061225 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 1 ; 33 ; 0.24489795918367346 ; 1.0 ; 0.8421052631578947 ; 0.9795918367346939 ; 1.0 ; 1.0 ; 8 ; 14 ; 0.32653061224489793 ; 0.9795918367346939 ; 0.96 ; 0.9795918367346939 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.09183673469387756 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 3
1 ; 0.22448979591836735 ; 0.5306122448979592 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 0 ; 43 ; 0.16326530612244897 ; 0.9591836734693877 ; 0.4117647058823529 ; 0.5612244897959183 ; 1.0 ; 1.0 ; 2 ; 32 ; 0.2857142857142857 ; 0.8163265306122449 ; 0.6326530612244898 ; 0.5612244897959183 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.02040816326530612 ; 1 ; 2 ; 0 ; 0 ; 8 ; 1 ; 2 ; 1 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 6 ; 0 ; 0 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 5 ; 2 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 4
1 ; 0.2857142857142857 ; 0.5102040816326531 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 1 ; 26 ; 0.2857142857142857 ; 0.9897959183673469 ; 0.5614035087719298 ; 0.5306122448979592 ; 1.0 ; 1.0 ; 8 ; 29 ; 0.2857142857142857 ; 0.9387755102040817 ; 0.48 ; 0.5306122448979592 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.09183673469387756 ; 1 ; 2 ; 0 ; 0 ; 9 ; 2 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 0 ; 3 ; 0 ; 0 ; 0 ; 4 ; 3 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 0 ; 3 ; 4 ; 2 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 5
1 ; 0.35714285714285715 ; 0.8673469387755102 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 7 ; 24 ; 0.4489795918367347 ; 0.8877551020408163 ; 0.9821428571428571 ; 0.8673469387755102 ; 1.0 ; 0.5651041666666667 ; 7 ; 28 ; 0.2653061224489796 ; 0.8979591836734694 ; 0.7857142857142857 ; 0.8673469387755102 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.14285714285714285 ; 1 ; 2 ; 0 ; 0 ; 9 ; 2 ; 3 ; 0 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 0 ; 1 ; 1 ; 0 ; 0 ; 2 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 5 ; 2 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 5
1 ; 0.2857142857142857 ; 0.7653061224489796 ; 0.0 ; 0.0 ; 1.0 ; 0.9818181818181818 ; 7 ; 34 ; 0.3673469387755102 ; 0.8877551020408163 ; 0.8035714285714286 ; 0.8571428571428571 ; 1.0 ; 1.0 ; 7 ; 46 ; 0.20408163265306123 ; 0.9285714285714286 ; 0.7321428571428571 ; 0.8571428571428571 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.14285714285714285 ; 1 ; 2 ; 0 ; 0 ; 9 ; 2 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 8 ; 1 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 4 ; 3 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 3
1 ; 0.3163265306122449 ; 0.6020408163265306 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 2 ; 20 ; 0.30612244897959184 ; 0.9489795918367347 ; 0.5882352941176471 ; 0.6428571428571429 ; 1.0 ; 1.0 ; 2 ; 12 ; 0.32653061224489793 ; 0.9795918367346939 ; 0.6470588235294118 ; 0.6428571428571429 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.04081632653061224 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 2 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 1
1 ; 0.336734693877551 ; 0.7755102040816326 ; 0.0 ; 0.0 ; 1.0 ; 1.0 ; 8 ; 31 ; 0.3469387755102041 ; 0.9183673469387755 ; 0.7592592592592593 ; 0.826530612244898 ; 1.0 ; 1.0 ; 5 ; 46 ; 0.32653061224489793 ; 0.9285714285714286 ; 0.7368421052631579 ; 0.826530612244898 ; EXT ; NC ; 8 ; 0.75 ; 100 ; 100 ; 98 ; 0.98 ; 0 ; 0.1326530612244898 ; 1 ; 2 ; 0 ; 0 ; 7 ; 0 ; 2 ; 1 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 7 ; 0 ; 1 ; 2 ; 0 ; 0 ; 0 ; 4 ; 2 ; 0 ; 0 ; 0 ; 0 ; 0 ; 2 ; 0 ; 7 ; 0 ; 2 ; 1 ; 0 ; 0 ; 0 ; 4 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3 ; 3 ; 3 ; 12 ; 10.0 ; 2.0 ; 4.0 ; 1.5 ; 3.0 ; 1.5 ; 3
