"success "," initial_sync_agreement "," final_sync_agreement "," i_amail_sync_agreement "," f_amail_sync_agreement ","initial_diac_agreement_1 "," final_diac_agreement_1 "," e_count_1 "," g_count_1 "," l_ini_sync_1 "," i_cover_1 "," l_fin_sync_1 "," f_cover_1 "," initial_diac_agreement_2 "," final_diac_agreement_2 "," e_count_2 "," g_count_2 "," l_ini_sync_2 "," i_cover_2 "," l_fin_sync_2 "," f_cover_2 "," strategy "," domain "," threshold "," abui_t "," iterations "," nb_examples "," nb_concerned "," concerned_rt "," redundancy "," exch_ratio "," nb_overlap "," nb_hyponym "," nb_synonym "," nb_homonym "," i_total "," i_self "," i_overlap "," i_hypohyper "," i_syn "," i_hom "," i_blind "," i_un "," f_total "," f_self "," f_overlap "," f_hypohyper "," f_syn "," f_hom "," f_blind "," f_un "," i_total_1 "," i_self_1 "," i_overlap_1 "," i_hypohyper_1 "," i_syn_1 "," i_hom_1 "," i_blind_1 "," i_un_1 "," f_total_1 "," f_self_1 "," f_overlap_1 "," f_hypohyper_1 "," f_syn_1 "," f_hom_1 "," f_blind_1 "," f_un_1 "," i_total_2 "," i_self_2 "," i_overlap_2 "," i_hypohyper_2 "," i_syn_2 "," i_hom_2 "," i_blind_2 "," i_un_2 "," f_total_2 "," f_self_2 "," f_overlap_2 "," f_hypohyper_2 "," f_syn_2 "," f_hom_2 "," f_blind_2 "," f_un_2 "," initial concepts "," expected concepts "," observed concepts "," ft_number "," m_sort_size "," sd_sort_size "," m_id_size "," sd_id_size "," m_gen_size "," sd_gen_size "," shared_ft "," dimensions",,
1," 0.35714285714285715 "," 0.8877551020408163 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",11,23," 0.3673469387755102 "," 0.9489795918367347 "," 0.9245283018867925 "," 0.9489795918367347 "," 1.0 "," 1.0 ",4,37," 0.3469387755102041 "," 0.9897959183673469 "," 0.8333333333333334 "," 1.0 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.15306122448979592 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.24489795918367346 "," 0.8979591836734694 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",4,41," 0.16326530612244897 "," 0.9591836734693877 "," 0.9215686274509803 "," 0.9591836734693877 "," 1.0 "," 1.0 ",2,57," 0.32653061224489793 "," 0.9081632653061225 "," 0.8867924528301887 "," 0.9591836734693877 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.061224489795918366 ",1,2,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,7,0,0,0,0,0,7,0,3,5,4,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.30612244897959184 "," 0.7448979591836735 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",12,46," 0.2653061224489796 "," 0.9387755102040817 "," 0.7592592592592593 "," 0.8571428571428571 "," 1.0 "," 0.9810606060606061 ",5,44," 0.3469387755102041 "," 0.9489795918367347 "," 0.6721311475409836 "," 0.8061224489795918 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.17346938775510204 ",1,2,0,0,9,1,3,1,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,9,1,3,1,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3469387755102041 "," 0.9285714285714286 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",6,47," 0.2857142857142857 "," 1.0 "," 0.8703703703703703 "," 0.9489795918367347 "," 1.0 "," 1.0 ",5,57," 0.40816326530612246 "," 0.9285714285714286 "," 0.9636363636363636 "," 0.9489795918367347 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.11224489795918367 ",1,2,0,0,9,2,2,1,0,0,0,4,0,0,0,0,0,0,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.3163265306122449 "," 0.8673469387755102 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",6,27," 0.3877551020408163 "," 0.9387755102040817 "," 0.9482758620689655 "," 0.9285714285714286 "," 1.0 "," 1.0 ",11,26," 0.24489795918367346 "," 1.0 "," 0.7636363636363637 "," 0.9285714285714286 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.15306122448979592 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.2653061224489796 "," 0.9081632653061225 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",4,38," 0.20408163265306123 "," 0.9897959183673469 "," 0.8333333333333334 "," 0.9183673469387755 "," 1.0 "," 1.0 ",6,35," 0.32653061224489793 "," 0.9285714285714286 "," 0.9811320754716981 "," 0.9183673469387755 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.09183673469387756 ",1,2,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,3,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.25510204081632654 "," 0.9285714285714286 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",8,19," 0.1836734693877551 "," 1.0 "," 0.8571428571428571 "," 0.9489795918367347 "," 1.0 "," 1.0 ",0,32," 0.32653061224489793 "," 0.9693877551020408 "," 0.9122807017543859 "," 0.9489795918367347 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.08163265306122448 ",1,2,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.29591836734693877 "," 0.8877551020408163 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",0,34," 0.2857142857142857 "," 0.9795918367346939 "," 0.803921568627451 "," 0.9897959183673469 "," 1.0 "," 1.0 ",2,14," 0.30612244897959184 "," 0.9693877551020408 "," 0.9591836734693877 "," 0.9591836734693877 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.02040816326530612 ",1,2,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.32653061224489793 "," 0.8673469387755102 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",5,27," 0.24489795918367346 "," 0.9897959183673469 "," 0.8301886792452831 "," 0.9897959183673469 "," 1.0 "," 1.0 ",4,35," 0.40816326530612246 "," 0.9489795918367347 "," 0.9074074074074074 "," 0.9285714285714286 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.09183673469387756 ",1,2,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
1," 0.25510204081632654 "," 0.9183673469387755 "," 0.0 "," 0.0 "," 1.0 "," 1.0 ",12,29," 0.2857142857142857 "," 0.9387755102040817 "," 0.9807692307692307 "," 0.9387755102040817 "," 1.0 "," 1.0 ",3,39," 0.22448979591836735 "," 0.9795918367346939 "," 0.8852459016393442 "," 0.9387755102040817 "," EXT "," NC ",8," 0.75 ",25,100,98," 0.98 ",0," 0.15306122448979592 ",1,2,0,0,8,1,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,2,0,0,0,4,0,0,0,0,0,0,0,0,3,4,3,12," 4.0 "," 1.0 "," 2.0 "," 1.0 "," 2.0 "," 1.0 ",1," [[2]"," [2]"," [1]]"
