ERROR 2013-01-23 09:09:00,410 ===> Error message
INFO  2013-01-23 09:09:34,321 ===> App started
ERROR 2013-01-23 09:09:34,323 ===> Error message
INFO  2013-01-23 09:11:14,453 ===> App started
ERROR 2013-01-23 09:11:14,454 ===> Error message
INFO  2013-01-23 10:26:02,021 ===> App started
ERROR 2013-01-23 10:26:02,022 ===> Error message
INFO  2013-01-23 10:56:22,118 ===> App started
ERROR 2013-01-23 10:56:22,119 ===> Error message
INFO  2013-01-23 10:56:27,126 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-23 10:56:43,540 ===> #Cases: 82 Type: demospongiae
INFO  2013-01-23 10:56:48,278 ===> Correct cases: 21.052631%. You can now load a class to show.
INFO  2013-01-23 10:56:48,278 ===> Correct cases: 21.052631%. You can now load a class to show.
INFO  2013-01-23 10:56:54,915 ===> #Cases: 82 Type: demospongiae
INFO  2013-01-23 10:56:56,116 ===> Correct cases: 21.052631%. You can now load a class to show.
INFO  2013-01-23 10:56:56,116 ===> Correct cases: 21.052631%. You can now load a class to show.
INFO  2013-01-23 10:57:02,205 ===> #Cases: 82 Type: demospongiae
INFO  2013-01-23 10:57:04,009 ===> Correct cases: 26.31579%. You can now load a class to show.
INFO  2013-01-23 10:57:04,010 ===> Correct cases: 26.31579%. You can now load a class to show.
INFO  2013-01-23 10:57:10,135 ===> #Cases: 82 Type: demospongiae
INFO  2013-01-23 11:00:08,282 ===> App started
ERROR 2013-01-23 11:00:08,283 ===> Error message
INFO  2013-01-23 11:00:11,892 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-23 11:00:22,253 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-23 11:00:27,226 ===> Correct cases: 22.222223%. You can now load a class to show.
INFO  2013-01-23 11:00:27,227 ===> Correct cases: 22.222223%. You can now load a class to show.
INFO  2013-01-23 11:00:33,706 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-23 11:00:34,977 ===> Correct cases: 22.222223%. You can now load a class to show.
INFO  2013-01-23 11:00:34,977 ===> Correct cases: 22.222223%. You can now load a class to show.
INFO  2013-01-23 11:00:40,828 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-23 11:00:43,088 ===> Correct cases: 22.222223%. You can now load a class to show.
INFO  2013-01-23 11:00:43,088 ===> Correct cases: 22.222223%. You can now load a class to show.
INFO  2013-01-23 11:00:48,933 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-23 11:05:23,233 ===> App started
ERROR 2013-01-23 11:05:23,234 ===> Error message
INFO  2013-01-23 11:05:26,276 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-23 11:05:32,036 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-23 11:05:41,464 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-23 11:05:45,930 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-23 11:07:49,683 ===> App started
ERROR 2013-01-23 11:07:49,684 ===> Error message
INFO  2013-01-23 11:07:52,730 ===> Inductive: loading ARTIFICIAL_DATASET
INFO  2013-01-23 11:08:01,899 ===> #Cases: 435 Type: artificial
INFO  2013-01-23 11:08:05,806 ===> #Cases: 435 Type: artificial
INFO  2013-01-23 11:11:13,740 ===> App started
ERROR 2013-01-23 11:11:13,741 ===> Error message
INFO  2013-01-23 11:11:18,056 ===> Inductive: loading DEMOSPONGIAE_120_DATASET
INFO  2013-01-23 11:11:25,088 ===> #Cases: 102 Type: demospongiae
INFO  2013-01-23 11:12:36,007 ===> App started
ERROR 2013-01-23 11:12:36,008 ===> Error message
